var1,var2,var3,var4,var5,var6,mf
550.4944,97480,2.3,311,0.2,0.0056,C32H6O10
550.6295,11609,3.6,482,0.2,0.0474,C22H18N10O8
551.0076,13251,1.6,209,0.1,0.0416,C39H66O
551.0428,13751,1.8,234,0.1,0.0401,C35H70N2O2
551.504,9162,3.2,424,0.2,0.0602,C35H5NO7
551.6315,13958,1.8,243,0.1,0.0395,C30H21N3O8
552.0126,17990,2,261,0.1,0.0307,C32H65N5O2
552.4221,15612,1.7,219,0.1,0.0354,C34O9
552.4507,13027,2.2,295,0.1,0.0424,C34O9
552.508,9960,2.2,286,0.1,0.0555,C28H4N6O8
553.0144,16994,2,260,0.1,0.0325,C30H64N8O
553.4987,16277,2.2,290,0.1,0.034,C22H3N9O10
553.9518,16959,1.6,218,0.1,0.0327,C25H59N7O6
554.0107,10811,2.2,287,0.1,0.0512,C29H63N9O
554.0504,11216,2.5,331,0.2,0.0494,C30H67N9
554.1702,10339,1.7,220,0.1,0.0536,C34H2O9
554.43,11918,3.7,492,0.2,0.0465,C34H2O9
554.503,22237,2.2,287,0.1,0.0249,C31H2N6O6
554.9393,10519,3.4,448,0.2,0.0528,C30H58N4O5
554.9924,29840,2.8,373,0.2,0.0186,C29H62N8O2
555.0071,13442,2.4,315,0.2,0.0413,C28H62N10O
555.1185,10385,2,259,0.1,0.0535,C33HNO9
555.439,10030,2.1,283,0.1,0.0554,C33HNO9
555.512,11478,4.1,545,0.3,0.0484,C33H5N3O7
555.9447,9972,2,262,0.1,0.0558,C28H57N7O4
556.0538,12394,7.6,1003,0.5,0.0449,C31H69N7O
556.4578,39840,1.8,238,0.1,0.014,C32N2O9
556.5131,13215,3,392,0.2,0.0421,C38N6O
556.9338,10689,2.3,300,0.1,0.0521,C32H60O7
556.9981,13848,2.7,361,0.2,0.0402,C41H64
557.0516,13958,2.7,360,0.2,0.0399,C30H68N8O
557.1295,14269,8.5,1123,0.5,0.039,C33H3NO9
557.5199,14151,2.7,361,0.2,0.0394,C40H3N3O2
558.0158,8962,2.8,374,0.2,0.0623,C37H67NO2
558.1324,17041,2.7,364,0.2,0.0328,C33H2O10
558.5046,19656,1.9,256,0.1,0.0284,C24H2N10O8
558.8915,18866,1.6,214,0.1,0.0296,C34H54O6
559.0187,17010,1.7,230,0.1,0.0329,C30H66N6O3
559.4254,15427,1.8,243,0.1,0.0363,C32HNO10
559.5032,25786,1.9,248,0.1,0.0217,C27H5N5O10
560.0015,10471,1.6,217,0.1,0.0535,C30H65N5O4
560.5078,26977,1.8,235,0.1,0.0208,C37N6O2
561.4014,9211,2,265,0.1,0.0609,C32H3NO10
561.4526,8939,2.2,288,0.1,0.0628,C32H3NO10
561.953,18576,1.6,209,0.1,0.0303,C38H59NO2
562.0167,15275,1.9,257,0.1,0.0368,C30H67N5O4
562.4421,14235,1.6,208,0.1,0.0395,C31H2N2O10
562.4919,11671,1.6,213,0.1,0.0482,C29H2N6O8
563.0061,13367,1.8,246,0.1,0.0421,C35H66N2O3
563.3793,13575,4.6,611,0.3,0.0415,C30HN3O10
563.492,5958,3.2,428,0.2,0.0946,C33HN5O6
563.997,12530,2.3,313,0.2,0.045,C29H65N5O5
564.3899,9310,1.8,240,0.1,0.0606,C35O9
564.4864,16878,2.7,354,0.2,0.0334,C31H4N2O10
564.5046,20503,2.9,392,0.2,0.0275,C24H4N8O10
564.5191,5541,2.1,281,0.1,0.1019,C28H4N8O7
564.9989,13628,2.5,332,0.2,0.0415,C38H64N2O
565.4083,18025,2.3,304,0.1,0.0314,C30H3N3O10
565.5092,23684,2.9,391,0.2,0.0239,C38H3N3O4
566.0143,13832,2.4,319,0.2,0.0409,C30H63N9O
566.4365,12059,1.9,258,0.1,0.047,C35H2O9
566.5039,11574,1.8,244,0.1,0.0489,C36H6O8
567.0176,12838,2.1,277,0.1,0.0442,C32H66N6O2
568.0133,9918,3,397,0.2,0.0573,C31H65N7O2
568.4469,12621,2.7,363,0.2,0.045,C34O10
568.5133,10864,1.7,225,0.1,0.0523,C39N6O
569.0103,23803,2.7,357,0.2,0.0239,C30H64N8O2
569.0284,33283,1.7,230,0.1,0.0171,C33H68N4O3
569.0347,28988,2.3,305,0.1,0.0196,C32H68N6O2
569.4528,9665,1.8,241,0.1,0.0589,C34H3NO9
569.5257,15797,2.1,283,0.1,0.0361,C30H3N9O5
