em,mf,unsat,error,ppm,info
300.2525262848,C15H32N4O2,2,0.2525262848,841.0463,N4O2C15H32
300.256549036,C20H32N2,6,0.256549036,854.4327999999999,N2C20H32
300.263759675,C14H32N6O,2,0.263759675,878.4266,N6OC14H32
300.2664450132,C18H36O3,1,0.2664450132,887.3619,O3C18H36
300.2749930652,C13H32N8,2,0.2749930652,915.8041000000001,N8C13H32
300.2776784034,C17H36N2O2,1,0.2776784034,924.7387,N2O2C17H36
300.2817011546,C22H36,5,0.2817011546,938.1229,C22H36
300.2889117936,C16H36N4O,1,0.2889117936,962.1128,N4OC16H36
300.3001451837,C15H36N6,1,0.3001451837,999.4839999999999,N6C15H36
300.302830522,C19H40O2,0,0.302830522,1008.4171,O2C19H40
300.3140639121,C18H40N2O,0,0.3140639121,1045.7849,N2OC18H40
300.3252973023,C17H40N4,0,0.3252973023,1083.1499,N4C17H40
